Year;Industry_aggregation_NZSIOC;Industry_code_NZSIOC;Industry_name_NZSIOC;Units;Variable_code;Variable_name;Variable_category;Value;Industry_code_ANZSIC06
2021;Level 1;99999;All industries;Dollars (millions);H01;Total income;Financial performance;757,504;ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)
2021;Level 1;99999;All industries;Dollars (millions);H04;Sales, government funding, grants and subsidies;Financial performance;674,890;ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)
2021;Level 1;99999;All industries;Dollars (millions);H05;Interest, dividends and donations;Financial performance;49,593;ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)
2021;Level 1;99999;All industries;Dollars (millions);H07;Non-operating income;Financial performance;33,020;ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)
2021;Level 1;99999;All industries;Dollars (millions);H08;Total expenditure;Financial performance;654,404;ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)
2021;Level 1;99999;All industries;Dollars (millions);H09;Interest and donations;Financial performance;26,138;ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)
2021;Level 1;99999;All industries;Dollars (millions);H10;Indirect taxes;Financial performance;6,991;ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)
2021;Level 1;99999;All industries;Dollars (millions);H11;Depreciation;Financial performance;27,801;ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)
2021;Level 1;99999;All industries;Dollars (millions);H12;Salaries and wages paid;Financial performance;123,620;ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)
2021;Level 1;99999;All industries;Dollars (millions);H13;Redundancy and severance;Financial performance;275;ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)
2021;Level 1;99999;All industries;Dollars (millions);H14;Salaries and wages to self employed commission agents;Financial performance;2,085;ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)
2021;Level 1;99999;All industries;Dollars (millions);H19;Purchases and other operating expenses;Financial performance;452,963;ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)
2021;Level 1;99999;All industries;Dollars (millions);H20;Non-operating expenses;Financial performance;14,806;ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)
2021;Level 1;99999;All industries;Dollars (millions);H21;Opening stocks;Financial performance;68,896;ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)
2021;Level 1;99999;All industries;Dollars (millions);H22;Closing stocks;Financial performance;69,127;ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)
2021;Level 1;99999;All industries;Dollars (millions);H23;Surplus before income tax;Financial performance;103,330;ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)
2021;Level 1;99999;All industries;Dollars (millions);H24;Total assets;Financial position;2,512,677;ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)
2021;Level 1;99999;All industries;Dollars (millions);H25;Current assets;Financial position;730,587;ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)
2021;Level 1;99999;All industries;Dollars (millions);H26;Fixed tangible assets;Financial position;591,351;ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)
2021;Level 1;99999;All industries;Dollars (millions);H29;Other assets;Financial position;1,190,739;ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)
2021;Level 1;99999;All industries;Dollars (millions);H30;Total equity and liabilities;Financial position;2,512,677;ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)
2021;Level 1;99999;All industries;Dollars (millions);H31;Shareholders funds or owners equity;Financial position;813,949;ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)
2021;Level 1;99999;All industries;Dollars (millions);H32;Current liabilities;Financial position;933,093;ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)
2021;Level 1;99999;All industries;Dollars (millions);H33;Other liabilities;Financial position;765,635;ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)
2021;Level 1;99999;All industries;Dollars;H34;Total income per employee count;Financial ratios;400,900;ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)
2021;Level 1;99999;All industries;Dollars;H35;Surplus per employee count;Financial ratios;54,700;ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)
2021;Level 1;99999;All industries;Percentage;H36;Current ratio;Financial ratios;78;ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)
2021;Level 1;99999;All industries;Percentage;H37;Quick ratio;Financial ratios;71;ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)
2021;Level 1;99999;All industries;Percentage;H39;Return on equity;Financial ratios;13;ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)
